date,price
04/07/2012,12.2
05/07/2013,8.9
06/07/2014,8
07/07/2015,8.1
07/07/2016,7.5
08/07/2017,1.4
09/07/2018,4.2
10/07/2019,4.6
10/07/2020,5.4
11/07/2021,23
