name	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
Income	141445	128991	146500	179085	205500	141608	147454	258065	228159	213000	293000	392291	564335	673682	642800	1100993	509805	740872	1117527	1246538	1152612	1040141	612693	519448	691505	905609	926845	781834	849000	1045000
Expend	187890	163776	173943	198117	221272	190060	183841	235322	255140	233500	257000	285200	346474	393322	466248	520069	596434	653886	826700	917198	994734	1140603	1001292	830513	926400	1079466	1059445	1075734	990000	955000
