name	01/01/1993	02/01/1994	03/01/1995	04/01/1996	04/01/1997	05/01/1998	06/01/1999	07/01/2000	07/01/2001	08/01/2002	09/01/2003	10/01/2004	10/01/2005	11/01/2006	12/01/2007	13/01/2008	13/01/2009	14/01/2010	15/01/2011	16/01/2012	16/01/2013	17/01/2014	18/01/2015	19/01/2016	19/01/2017	20/01/2018	21/01/2019	22/01/2020	22/01/2021	23/01/2022
Income	141445.00	128991.00	146500.00	179085.00	205500.00	141608.00	147454.00	258065.00	228159.00	213000.00	293000.00	392291.00	564335.00	673682.00	642800.00	1100993.00	509805.00	740872.00	1117527.00	1246538.00	1152612.00	1040141.00	612693.00	519448.00	691505.00	905609.00	926845.00	781834.00	849000.00	1045000.00
Expend	187890.00	163776.00	173943.00	198117.00	221272.00	190060.00	183841.00	235322.00	255140.00	233500.00	257000.00	285200.00	346474.00	393322.00	466248.00	520069.00	596434.00	653886.00	826700.00	917198.00	994734.00	1140603.00	1001292.00	830513.00	926400.00	1079466.00	1059445.00	1075734.00	990000.00	955000.00
