name	1993.00	1994.00	1995.00	1996.00	1997.00	1998.00	1999.00	2000.00	2001.00	2002.00	2003.00	2004.00	2005.00	2006.00	2007.00	2008.00	2009.00	2010.00	2011.00	2012.00	2013.00	2014.00	2015.00	2016.00	2017.00	2018.00	2019.00	2020.00	2021.00	2022.00
Income	141445.00	128991.00	146500.00	179085.00	205500.00	141608.00	147454.00	258065.00	228159.00	213000.00	293000.00	392291.00	564335.00	673682.00	642800.00	1100993.00	509805.00	740872.00	1117527.00	1246538.00	1152612.00	1040141.00	612693.00	519448.00	691505.00	905609.00	926845.00	781834.00	849000.00	1045000.00
Expend	187890.00	163776.00	173943.00	198117.00	221272.00	190060.00	183841.00	235322.00	255140.00	233500.00	257000.00	285200.00	346474.00	393322.00	466248.00	520069.00	596434.00	653886.00	826700.00	917198.00	994734.00	1140603.00	1001292.00	830513.00	926400.00	1079466.00	1059445.00	1075734.00	990000.00	955000.00
